transaction_date,month_name,Month_id,day_name,day_Number,trans_count,product_sold,product_category,product_detail,product_type,store_location,time_bucket,total_revenue
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Morning,12.00
2023-01-01,Jan,2023-01,Sun,1,4,4,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Morning,18.60
2023-01-01,Jan,2023-01,Sun,1,2,2,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,Lower Manhattan,Morning,13.50
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Our Old Time Diner Blend Sm,Drip coffee,Lower Manhattan,Morning,4.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Bakery,Oatmeal Scone,Scone,Lower Manhattan,Morning,9.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,Lower Manhattan,Morning,4.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Latte Rg,Barista Espresso,Lower Manhattan,Morning,4.25
2023-01-01,Jan,2023-01,Sun,1,2,2,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,Lower Manhattan,Morning,14.00
2023-01-01,Jan,2023-01,Sun,1,5,5,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Morning,20.40
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Ethiopia Lg,Gourmet brewed coffee,Lower Manhattan,Morning,7.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Tea,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Morning,15.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Morning,6.00
2023-01-01,Jan,2023-01,Sun,1,4,4,Tea,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Morning,21.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Bakery,Jumbo Savory Scone,Scone,Lower Manhattan,Morning,7.50
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,Lemon Grass Rg,Brewed herbal tea,Hell's Kitchen,Morning,2.50
2023-01-01,Jan,2023-01,Sun,1,2,2,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,Hell's Kitchen,Morning,13.50
2023-01-01,Jan,2023-01,Sun,1,1,1,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Morning,4.75
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Morning,14.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Bakery,Hazelnut Biscotti,Biscotti,Lower Manhattan,Morning,6.50
2023-01-01,Jan,2023-01,Sun,1,2,2,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Morning,7.65
2023-01-01,Jan,2023-01,Sun,1,5,5,Coffee,Cappuccino,Barista Espresso,Hell's Kitchen,Morning,33.75
2023-01-01,Jan,2023-01,Sun,1,3,3,Tea,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Morning,15.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Bakery,Chocolate Chip Biscotti,Biscotti,Lower Manhattan,Morning,7.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Tea,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Morning,18.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Bakery,Chocolate Croissant,Pastry,Lower Manhattan,Morning,11.25
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Latte,Barista Espresso,Hell's Kitchen,Morning,3.75
2023-01-01,Jan,2023-01,Sun,1,3,3,Coffee,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Morning,9.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Brazilian Lg,Organic brewed coffee,Lower Manhattan,Morning,7.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,Lower Manhattan,Morning,5.00
2023-01-01,Jan,2023-01,Sun,1,5,5,Tea,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Morning,15.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,Lower Manhattan,Morning,4.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Tea,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Morning,12.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Morning,6.00
2023-01-01,Jan,2023-01,Sun,1,3,3,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Morning,18.75
2023-01-01,Jan,2023-01,Sun,1,1,1,Bakery,Scottish Cream Scone ,Scone,Lower Manhattan,Morning,4.50
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Morning,2.50
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,English Breakfast Rg,Brewed Black tea,Lower Manhattan,Morning,2.50
2023-01-01,Jan,2023-01,Sun,1,3,3,Coffee,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Morning,10.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Morning,2.50
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Morning,9.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Morning,8.80
2023-01-01,Jan,2023-01,Sun,1,3,3,Coffee,Latte,Barista Espresso,Lower Manhattan,Morning,11.25
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Morning,2.45
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,Hell's Kitchen,Morning,15.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Bakery,Ginger Biscotti,Biscotti,Hell's Kitchen,Morning,3.50
2023-01-01,Jan,2023-01,Sun,1,1,1,Tea,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Morning,3.00
2023-01-01,Jan,2023-01,Sun,1,2,2,Coffee,Cappuccino Lg,Barista Espresso,Hell's Kitchen,Morning,17.00
2023-01-01,Jan,2023-01,Sun,1,1,1,Coffee,Cappuccino Lg,Barista Espresso,Lower Manhattan,Morning,4.25
